2018-08-19T10:50:47Z, 61, NTP, Adjust, 10
2018-08-19T15:23:53Z, 60, NTP, Adjust, 10
2018-08-19T19:56:54Z, 62, NTP, Adjust, -5
2018-08-20T00:30:00Z, 63, NTP, Adjust, 5
2018-08-20T05:03:05Z, 62, NTP, Adjust, -10
2018-08-20T09:36:08Z, 61, NTP, Adjust, -10
2018-08-20T14:09:09Z, 60, NTP, Adjust, 5
2018-08-20T18:42:17Z, 61, NTP, Adjust, 10
2018-08-21T03:48:27Z, 62, NTP, Adjust, -5
2018-08-21T08:21:32Z, 61, NTP, Adjust, -5
2018-08-21T12:54:35Z, 60, NTP, Adjust, 5
2018-08-21T17:27:40Z, 61, NTP, Adjust, 5
2018-08-21T22:00:46Z, 62, NTP, Adjust, 5
2018-08-22T02:33:52Z, 62, NTP, Adjust, -5
2018-08-22T07:06:55Z, 61, NTP, Adjust, -5
2018-08-22T11:39:58Z, 61, NTP, Adjust, 5
2018-08-22T16:13:06Z, 61, NTP, Adjust, -10
2018-08-22T20:46:09Z, 62, NTP, Adjust, 5
2018-08-23T01:19:12Z, 63, NTP, Adjust, 5
2018-08-23T05:52:17Z, 62, NTP, Adjust, 5
2018-08-23T10:25:23Z, 61, NTP, Adjust, -5
2018-08-23T14:58:28Z, 61, NTP, Adjust, -5
2018-08-24T00:04:37Z, 63, NTP, Adjust, -5
2018-08-24T04:37:41Z, 62, NTP, Adjust, 5
2018-08-24T09:10:45Z, 60, NTP, Adjust, 5
2018-08-24T13:43:49Z, 61, NTP, Adjust, 5
2018-08-24T18:16:55Z, 61, NTP, Adjust, -10
2018-08-25T03:23:01Z, 62, NTP, Adjust, 5
2018-08-25T07:56:05Z, 61, NTP, Adjust, -5
2018-08-25T12:29:14Z, 61, NTP, Adjust, -15
2018-08-25T17:02:16Z, 61, NTP, Adjust, 5
2018-08-25T21:56:52Z, 63, NTP, Adjust, 15
2018-08-26T02:29:54Z, 60, NTP, Adjust, 5
2018-08-26T11:14:33Z, 60, NTP, Adjust, 5
2018-08-26T16:09:05Z, 58, NTP, Adjust, -5
2018-08-26T20:42:11Z, 59, NTP, Adjust, -5
2018-08-27T01:15:16Z, 59, NTP, Adjust, 5
2018-08-27T05:48:19Z, 59, NTP, Adjust, -5
2018-08-27T14:33:04Z, 59, NTP, Adjust, 5
2018-08-27T19:06:10Z, 59, NTP, Adjust, 5
2018-08-27T23:39:14Z, 60, NTP, Adjust, -5
2018-08-28T04:12:18Z, 59, NTP, Adjust, -5
2018-08-28T08:45:21Z, 59, NTP, Adjust, 5
2018-08-28T13:18:24Z, 59, NTP, Adjust, -5
2018-08-28T22:24:33Z, 60, NTP, Adjust, 5
2018-08-29T03:19:06Z, 60, NTP, Adjust, -5
2018-08-29T12:03:45Z, 59, NTP, Adjust, 5
2018-08-29T16:36:48Z, 58, NTP, Adjust, -5
2018-08-29T21:31:24Z, 61, NTP, Adjust, 5
2018-08-30T02:04:28Z, 59, NTP, Adjust, -5
2018-08-30T06:37:34Z, 59, NTP, Adjust, 5
2018-08-30T11:10:40Z, 59, NTP, Adjust, -5
2018-08-30T19:55:14Z, 60, NTP, Adjust, 5
2018-08-31T00:49:53Z, 59, NTP, Adjust, -5
2018-08-31T05:22:56Z, 60, NTP, Adjust, -5
2018-08-31T09:56:01Z, 59, NTP, Adjust, 5
2018-08-31T18:40:34Z, 58, NTP, Adjust, 5
2018-08-31T23:35:15Z, 60, NTP, Adjust, 5
2018-09-01T08:19:49Z, 61, NTP, Adjust, -5
2018-09-01T12:52:54Z, 61, NTP, Adjust, -5
2018-09-01T17:26:00Z, 59, NTP, Adjust, -5
2018-09-01T21:59:04Z, 61, NTP, Adjust, 5
2018-09-02T02:53:48Z, 60, NTP, Adjust, -10
2018-09-02T07:26:49Z, 61, NTP, Adjust, -5
2018-09-02T11:59:52Z, 61, NTP, Adjust, 5
2018-09-02T16:33:02Z, 60, NTP, Adjust, 15
2018-09-02T21:06:01Z, 60, NTP, Adjust, -5
2018-09-03T01:39:06Z, 60, NTP, Adjust, 5
2018-09-03T06:12:09Z, 61, NTP, Adjust, 5
2018-09-03T14:56:42Z, 60, NTP, Adjust, -5
2018-09-03T19:29:46Z, 59, NTP, Adjust, -5
2018-09-04T00:24:29Z, 59, NTP, Adjust, -5
2018-09-04T04:57:34Z, 59, NTP, Adjust, 5
2018-09-04T13:42:05Z, 59, NTP, Adjust, 5
2018-09-04T18:36:43Z, 59, NTP, Adjust, -5
2018-09-04T23:09:48Z, 59, NTP, Adjust, -5
2018-09-05T03:42:51Z, 59, NTP, Adjust, 5
2018-09-05T08:15:57Z, 59, NTP, Adjust, 5
2018-09-05T12:49:01Z, 59, NTP, Adjust, 5
2018-09-05T17:22:04Z, 59, NTP, Adjust, 5
2018-09-06T02:06:45Z, 59, NTP, Adjust, -5
2018-09-06T07:01:20Z, 59, NTP, Adjust, -10
2018-09-06T11:34:23Z, 58, NTP, Adjust, 5
2018-09-06T16:07:28Z, 59, NTP, Adjust, 5
2018-09-06T20:40:36Z, 59, NTP, Adjust, -15
2018-09-07T01:13:37Z, 59, NTP, Adjust, 5
2018-09-07T09:58:16Z, 58, NTP, Adjust, 5
2018-09-07T14:52:50Z, 59, NTP, Adjust, 10
2018-09-07T19:25:54Z, 59, NTP, Adjust, -5
2018-09-08T04:10:35Z, 59, NTP, Adjust, -5
2018-09-08T04:32:13Z, 59, NTP, Adjust, -30
2018-09-08T08:02:43Z, 58, NWL, Measmt, 71
2018-09-08T08:03:16Z, 58, NWL, Adjust, 68
2018-09-08T09:05:07Z, 58, NTP, Adjust, 5
2018-09-08T13:38:11Z, 59, NTP, Adjust, -5
2018-09-08T22:22:57Z, 58, NTP, Adjust, -15
2018-09-09T03:17:32Z, 58, NTP, Adjust, -20
2018-09-09T07:50:32Z, 58, NTP, Adjust, -5
2018-09-09T12:23:38Z, 58, NTP, Adjust, 5
2018-09-09T16:56:42Z, 59, NTP, Adjust, -5
2018-09-10T01:41:19Z, 59, NTP, Adjust, 5
2018-09-10T06:14:25Z, 58, NTP, Adjust, -5
2018-09-10T07:39:32Z, 58, NWL, Measmt, 56
2018-09-10T07:39:44Z, 58, NWL, Adjust, 52
2018-09-10T11:09:05Z, 58, NTP, Adjust, -5
2018-09-10T19:53:40Z, 59, NTP, Adjust, -5
2018-09-11T00:27:01Z, 58, NTP, Adjust, -45
2018-09-11T04:59:49Z, 58, NTP, Adjust, -5
